crs_id,project_number,year,aid_type,flow_name,donor_name,recipient_name,usd_commitment_deflated,usd_disbursement_deflated,purpose_name,project_title,short_description,long_description,gender,relevance,check,inclusion,employment
2010001311,008759/01/5,2012,C01,ODA Grants,Italy,Bolivia,,0.33926,Health policy and administrative management,A COMMUNITY APPROACH TO STRENGTHENING HEALTH SERVICES IN BOLIVIAN CHACO AREA,A COMMUNITY APPROACH TO STRENGTHENING HEALTH SERVICES IN BOLIVIAN CHACO AREA,"THE PROJECT AIMS AT IMPROVING LIVELIHOODS IN GRAN CHACO COMMUNITIES AND STRENGTHENING BASIC HEALTH SERVICES, WITH SPECIAL ATTENTION TO DIAGNOSTIC ACTVITIES AND ENVIRONMENTAL HEALTH THROUGH CAPACITY BUILDING, INSTITUTIONAL STRENGTHENING AND THE PROMOTION",Partial gender component,None,potential false negative,Not inclusion,Not employment
2010001312,008759/02/6,2012,C01,ODA Grants,Italy,Bolivia,0.00685529,0.00766943,Health policy and administrative management,A COMMUNITY APPROACH TO STRENGTHENING HEALTH SERVICES IN BOLIVIAN CHACO AREA,A COMMUNITY APPROACH TO STRENGTHENING HEALTH SERVICES IN BOLIVIAN CHACO AREA,"THE PROJECT AIMS AT IMPROVING LIVELIHOODS IN GRAN CHACO COMMUNITIES AND STRENGTHENING BASIC HEALTH SERVICES, WITH SPECIAL ATTENTION TO DIAGNOSTIC ACTVITIES AND ENVIRONMENTAL HEALTH THROUGH CAPACITY BUILDING, INSTITUTIONAL STRENGTHENING AND THE PROMOTION",Partial gender component,None,potential false negative,Not inclusion,Not employment
2011000839,11A695,2012,C01,ODA Grants,Australia,Indonesia,0.360073,0.360073,Education policy and administrative management,Education Working in Partner Govt Systems and PFM,EDUCATION WORKING IN PARTNER GOVT SYSTEMS AND PFM,This initiative provides support for the preparation and implementation of the Education Partnership (EP) and cost associated with Australia's broader engagement in Indonesia's education sector. Planned activities include: (1) tendering and mobilisation of EP Outreach Services; (2) procurement of technical advisor services to assist in the transition from the Australia-Indonesia Basic Education Program to the new EP; (3) Procurement of technical advisory services to management and implementation of the EP including 'Working in Partner Systems' assessment; (4) small value procurement for an education sector disability review to assist in implementing AusAID's Strategy for Development for  All Towards a Disability-Inclusive Australian Aid Program; (5) Small value procurement of a short term contractor to provide assessment of governments partners procurement system capability and capacity;  (6) monitoring implementation and strategic oversight; and (7) sectoral engagement with development partners and the Government of Indonesia. The total value of this initiative is $1.3 million over the 2011-12 financial year.,No gender component,None,potential false negative,Not inclusion,Not employment
2012000836-6,LN2172-BAN,2012,C01,ODA Loans,Asian Development Bank,Bangladesh,,1.6488,Basic health care,Second Urban Primary Health Care Project,SECOND URBAN PRIMARY HEALTH CARE PROJECT,"Product type: ADF - CONVERTED TO SDR - The Project will improve the health status of the urban population, especially of the poor, in all the six city corporations and five municipalities to be identified. The Project will help ensure the delivery of a package of preventive, promotive, and curative health services.  At least 30% of all the services provided under the Project will be targeted at the poor. The specific project objectives are to improve (i) access to and use of urban primary health care (PHC) services in the project area, with a particular focus on extending provision to the poorest; (ii) the quality of urban PHC services in the project area; and (iii) the cost-effectiveness, efficiency, and institutional and financial sustainability of PHC to meet the needs of the urban poor.The services will be designed to reduce child and maternal mortality and morbidity, and help the country achieve the Millennium Development Goals (MDGs). The Project will continue to contract out PHC services to nongovernment organizations (NGOs) through partnership agreements that were pioneered under the first Urban Primary Health Care Project (UPHCP-I). The Project will ensure pro-poor targeting by requiring that at least 30% of the preventive, promotive, and curative services provided are for the poor. Nutritional supplements will be given to moderately to severely malnourished women and children. The Project will support construction of 64 health facilities, upgrading of 4, and purchase of 12 apartments and/or buildings for PHC facilities in Dhaka city corporation. Community-run latrines and community-based solid-waste disposal will be piloted to improve environmental health, and clinical waste management will be supported.",No gender component,None,potential false negative,Not inclusion,Not employment
2007200452,SCR.631866.1,2012,C01,ODA Grants,EU Institutions,West Bank and Gaza Strip,0,0.475892,Material relief assistance and services,UNRWA REFUGEE CAMP IMPROVEMENT FOR HEALTH INFRASTRUCTURE FOR PALESTINE REFUGEES IN LEBANON,UNRWA REFUGEE CAMP IMPROVEMENT FOR HEALTH INFRASTRUCTURE FOR PALESTINE REFUGEES IN LEBANON,The overall objective to which the project will contribute is to improve living conditions of Palestine refugees. The specific objective is to improve the environmental health infrastructure in refugee camps.,No gender component,None,potential false negative,Not inclusion,Not employment
2012006947INA1,106947,2012,C01,ODA Grants,Canada,India,0.0494656,0.0260774,Health policy and administrative management,Comparison of fiscal and regulatory policies to prevent non-communicable diseases in India,COMPARISON OF FISCAL AND REGULATORY POLICIES TO PREVENT NON-COMMUNICABLE DISEASES IN INDIA,"India faces a rising burden of cardiovascular disease and obesity-related diabetes. These burdens are substantially attributed to unhealthy diets and tobacco use. Thus far, educational initiatives to reduce the consumption of ''risky commodities'' such as high salt foods, high sugar foods, palm oils and smoked tobacco have been disappointing. As a result, fiscal and regulatory strategies such as food taxes have been proposed to limit the consumption of these goods. Although numerous studies suggest that these strategies may benefit public health and be cost-effective, questions remain whether such approaches may have unintended consequences for health or economic development in India. This project aims to answer several of these questions using mathematical models designed specifically to simulate fiscal and regulatory strategies to reduce ''risky commodity'' use in India. These questions include: would reducing salt intake adversely increase iodine deficiency, a significant risk among rural populations? Will taxes on high sugar foods and palm oils lead to better health or will consumers simply cook with different unhealthy oils instead? Will tobacco taxation cause a perverse increase in cardiovascular disease deaths if users switch from taxed cigarettes to bidis (informal cigarettes)? In addition to conducting a systematic review on the health and economic impact of strategies proposed to limit the consumption of these commodities, the investigators will incorporate recently-collected data from population-representative surveys of disease risk and consumer purchasing into computer models to find optimal strategies to reduce high-risk commodity consumption and minimize potential adverse effects in India. The results from this study are expected to be used by Indian legislators to debate ongoing and future legislation regarding nutrition and tobacco policy at the national and state level. This project will also, more broadly, provide new knowledge to the public and to public health epidemiologists regarding how alternative approaches to regulation and fiscal policy may work, and how to minimize their adverse effects.",No gender component,None,potential false negative,Not inclusion,Not employment
2012006947INA2,106947,2012,C01,ODA Grants,Canada,India,0.0642971,0.0325968,Health policy and administrative management,Comparison of fiscal and regulatory policies to prevent non-communicable diseases in India,COMPARISON OF FISCAL AND REGULATORY POLICIES TO PREVENT NON-COMMUNICABLE DISEASES IN INDIA,"India faces a rising burden of cardiovascular disease and obesity-related diabetes. These burdens are substantially attributed to unhealthy diets and tobacco use. Thus far, educational initiatives to reduce the consumption of ''risky commodities'' such as high salt foods, high sugar foods, palm oils and smoked tobacco have been disappointing. As a result, fiscal and regulatory strategies such as food taxes have been proposed to limit the consumption of these goods. Although numerous studies suggest that these strategies may benefit public health and be cost-effective, questions remain whether such approaches may have unintended consequences for health or economic development in India. This project aims to answer several of these questions using mathematical models designed specifically to simulate fiscal and regulatory strategies to reduce ''risky commodity'' use in India. These questions include: would reducing salt intake adversely increase iodine deficiency, a significant risk among rural populations? Will taxes on high sugar foods and palm oils lead to better health or will consumers simply cook with different unhealthy oils instead? Will tobacco taxation cause a perverse increase in cardiovascular disease deaths if users switch from taxed cigarettes to bidis (informal cigarettes)? In addition to conducting a systematic review on the health and economic impact of strategies proposed to limit the consumption of these commodities, the investigators will incorporate recently-collected data from population-representative surveys of disease risk and consumer purchasing into computer models to find optimal strategies to reduce high-risk commodity consumption and minimize potential adverse effects in India. The results from this study are expected to be used by Indian legislators to debate ongoing and future legislation regarding nutrition and tobacco policy at the national and state level. This project will also, more broadly, provide new knowledge to the public and to public health epidemiologists regarding how alternative approaches to regulation and fiscal policy may work, and how to minimize their adverse effects.",No gender component,None,potential false negative,Not inclusion,Not employment
2012000860-6,LN2259-LAO,2012,C01,ODA Loans,Asian Development Bank,Lao People's Democratic Republic,,2.01779,Livestock,Northern Region Sustainable Livelihoods Thru Livestock Devt Proj,NORTHERN REGION SUSTAINABLE LIVELIHOODS THRU LIVESTOCK DEVT PROJ,"Product type: NEW ADF - The Project will contribute to improved sustainability of livelihoods for upland smallholders in northern Lao PDR. The immediate outcome is to improve livestock productivity and profitability under integrated upland farming systems through (i) enhanced productivity of village livestock systems, (ii) capacity building for community driven development (CDD), and (iii) support for implementation management. The Project will contribute to sustainable livelihoods through improved cash incomes, food security, and nutrition for some of the poorest segments of the population. It will achieve this by providing access to appropriate  technology,  management and marketing systems, rationalizing household labor requirements, and improving returns to labor. It will contribute to gender equity by providing upland ethnic women with opportunities and support to participate in the selection and implementation of community and household investments in livelihoods improvements. It will support organization of village communities into small groups, training in credit management, and technical training in livestock rearing. Women will participate equitably in all training, group formation, and activities aimed at improved extension, production, and marketing. Environmental benefits are expected from the stabilization of shifting cultivation, improved hygiene, introduction of cut-and-carry systems, and environmental healththrough waste management, disease control, and controlled animal movements.  The project has the following outputs: (i) Improved on-farm livestock production technologies; (ii) Developed market efficiency and livestock enterprises; (iii) Strengthened participatory extension networks; (iv) Effective community driven development and (v) Strengthened project implementation management.",No gender component,None,potential false negative,Not inclusion,Not employment
2012000938-6,LN2555-BAN,2012,C01,ODA Loans,Asian Development Bank,Bangladesh,,1.20316,Waste management/disposal,Urban Public & Envmtl Health Sector Devt Program-Project Loan,URBAN PUBLIC & ENVMTL HEALTH SECTOR DEVT PROGRAM-PROJECT LOAN,"Product type: NEW ADF - The overall impact of the Urban Public and Environmental Health Sector Development Program (UPEHSDP) is to improve the public and environmental health conditions in the urban areas of Bangladesh, particularly in the six city corporations (Barisal,Chittagong, Dhaka, Khulna, Rajshahi, and Sylhet).",No gender component,None,potential false negative,Not inclusion,Not employment
2011000841,11A696,2012,C01,ODA Grants,Australia,Indonesia,0.0057666,0.0057666,Education policy and administrative management,Sector engagment with DPs and GoI,SECTOR ENGAGMENT WITH DPS AND GOI,This initiative provides support for the preparation and implementation of the Education Partnership (EP) and cost associated with Australia's broader engagement in Indonesia's education sector. Planned activities include: (1) tendering and mobilisation of EP Outreach Services; (2) procurement of technical advisor services to assist in the transition from the Australia-Indonesia Basic Education Program to the new EP; (3) Procurement of technical advisory services to management and implementation of the EP including 'Working in Partner Systems' assessment; (4) small value procurement for an education sector disability review to assist in implementing AusAID's Strategy for Development for  All Towards a Disability-Inclusive Australian Aid Program; (5) Small value procurement of a short term contractor to provide assessment of governments partners procurement system capability and capacity;  (6) monitoring implementation and strategic oversight; and (7) sectoral engagement with development partners and the Government of Indonesia. The total value of this initiative is $1.3 million over the 2011-12 financial year.,No gender component,None,potential false negative,Not inclusion,Not employment
2011000863004,SI2.603402.2,2012,C01,ODA Grants,EU Institutions,Zimbabwe,0,0.118973,Material relief assistance and services,HUMANITARIAN AID,HUMANITARIAN AID,Environmental Health Alliance (EHA) in Zimbabwe,No gender component,None,potential false negative,Not inclusion,Not employment
2011000863006,SI2.604331.2,2012,C01,ODA Grants,EU Institutions,Zimbabwe,0,0.0930893,Material relief assistance and services,HUMANITARIAN AID,HUMANITARIAN AID,Environmental Health Alliance (EHA) in Zimbabwe,No gender component,None,potential false negative,Not inclusion,Not employment
2011000863007,SI2.604663.2,2012,C01,ODA Grants,EU Institutions,Zimbabwe,0,0.259517,Material relief assistance and services,HUMANITARIAN AID,HUMANITARIAN AID,Environmental Health Alliance in Zimbabwe,No gender component,None,potential false negative,Not inclusion,Not employment
2012006496,2012-FEMP-12782-1,2012,C01,ODA Grants,Spain,Peru,0.0559098,0,Health education,"Improving the health and environmental healthiness conditions of families with children under 5 years old, with the participation of men and women in the developing process of the Carmen community-Curahuasi- Abancay.","IMPROVING THE HEALTH AND ENVIRONMENTAL HEALTHINESS CONDITIONS OF FAMILIES WITH CHILDREN UNDER 5 YEARS OLD, WITH THE PARTICIPATION OF MEN AND WOMEN IN","Mejora de las condiciones de salud y salubridad ambiental de las familias con niños/as menores de 5 años, con la participación de mujeres y varones en el proceso de desarrollo de la comunidd de Carmen-Curahuasi- Abancay ::",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013457,76_40198,2012,B03,ODA Grants,United States,Afghanistan,3.02255,1.12875,Reproductive health care,World Health Organization Consolidated Grant - Maternal and Child Health,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MATERNAL AND CHILD HEALTH,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013458,76_40198,2012,B03,ODA Grants,United States,Angola,0.431793,0.378499,Malaria control,World Health Organization Consolidated Grant - Malaria,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MALARIA,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013459,76_40198,2012,B03,ODA Grants,United States,Bangladesh,1.07948,,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013460,76_40198,2012,B03,ODA Grants,United States,Belarus,,0.189244,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013461,76_40198,2012,B03,ODA Grants,United States,"Central Asia, regional",,0.000885175,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013462,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",3.07113,1.9871,Family planning,World Health Organization Consolidated Grant - Family Planning and Reproductive Health,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - FAMILY PLANNING AND REPRODUCTIVE HEALTH,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
