recipient_name,Major_Inclusion_Employment,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Afghanistan,1.2016463,1.877205,0.09528733,31.725972324475,6.38714,29.6877382,9.01242278,105.885748277369,27994.2626602966
"Africa, regional",0.939085,4.172452,1.562512,15.13406063,0.0399972,3.3389396,0,2.616577147,13536.2151621228
Albania,0.1430906,1.624218773,0,2.259422552,0,1.05400283,0,3.48181725,1969.46568004047
Algeria,0,1.03154445,0.3316324,0.6586165,0.235238,0,0.6839109,1.189323586,1414.20024631411
"America, regional",0.145614,0.090730902,0.0100154,4.44737771642,1.0099502,0,0,4.92159364,6050.43330207033
Angola,0.2433178,0.22961368,0.0229874,1.032356905,0.114278,0.7904937,0.13125063,0.5367917,1912.484170514
Anguilla,0,0,0,0.000431147,0,0,0,0,11.766206901
Antigua and Barbuda,0,0,0,0.271947255,0,0,0,0,27.0471329930133
Argentina,0.6100604,0.16712581,0.08103442,0.265360328,0,0.15837728,0.02396298,0.911729618,734.641735183916
Armenia,0,1.11899624,4.62799802,0.80304276,0.169815,5.551908084,0.020603682,2.113152772,2091.16426821949
"Asia, regional",0,4.117065403,0,5.89894898,0,2.17409162,2.3867994,25.75201204,5341.98850463007
Azerbaijan,0.0276608,0.49035828,0,0.74889929,1.347759,2.2246015,0.0143239,1.772873823,1335.9452967127
Bangladesh,2.53533,4.9639519,1.54301959,25.915471587,2.446254921,11.39031841,22.600612654,12.153104011,19631.7791007792
Belarus,0.0453733,2.10329691,0.0751888,1.038843336,0,0.63099,0,2.56676956,637.41592912415
Belize,0,0,0,0.016722845,0,0.1873858,0,0.102827,231.221059466741
Benin,0,0.608793,0.0479736,0.34353586,0.16754207,19.321342,0.0472057,12.27712293,3415.49643055234
Bhutan,0,0,0.1062829,0.578203881,0,0.9376271,0,0.0072455,711.862460285486
"Bilateral, unspecified",1.7013083,65.71125639779,0.066367024,176.635108637,14.660077396,30.992861348,9.33018531,248.2778448402,208933.754371433
Bolivia,0.0280603,1.57134036,0.1377314,2.03293746,2.22604066,3.220453832,0.01093733,1.53799258,4562.10158681873
Bosnia and Herzegovina,0.4520461,7.30759861,0.03526907,5.999673622,0,4.497483486,0.025183,10.25522419,3366.26296567666
Botswana,0,0.1338178,0,1.0531844495,0,0.2653291,0,0.7800579,632.692285518508
Brazil,0,0,0,3.34624159,0.03031312,0.018415,0.00719742,1.046199885,6393.95949473902
