source_Location_name_split,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
..,0,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,2850513.84058543,504643878.371678
Albania,0,0,0,0,0,0,0,57399.7848961951
Algeria,0,0,0,0,0,0,0,3588829.14123967
Andorra,0,0,0,0,0,0,0,545257.480002238
Angola,0,0,0,0,0,0,0,14169962.2013162
Antigua and Barbuda,0,0,0,0,0,0,0,97988.5701325194
Argentina,0,0,0,0,0,0,0,687404.143344698
Armenia,0,0,0,0,0,0,0,242161.664289272
Australia,0,0,0,0,0,0,1066027.47772181,1560891071.02243
Austria,0,0,0,0,0,0,0,177020001.627701
Azerbaijan,0,0,0,0,0,0,0,8861343.16387009
Bahrain,0,0,0,0,0,0,1313326.07817281,44150030.3758983
Bangladesh,0,0,0,0,0,0,0,11920154.1672494
Barbados,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,6095983.12312801
Belgium,927055.98808596,0,415301,0,0,0,6717493.33146078,1700886856.83576
Bhutan,0,0,0,0,0,0,0,1003954.6145573
"Bolivia, Plurinational State of",0,0,0,0,0,0,0,2125689.2303955
Botswana,0,0,0,0,0,0,0,444899.759321996
Brazil,0,0,0,0,0,0,0,107202916.191584
Brunei Darussalam,0,0,0,0,0,0,0,1842820.10050872
Bulgaria,0,0,0,0,99107,0,0,2045258.2629694
Burkina Faso,0,0,0,0,0,0,0,45999728.4950055
Burundi,0,0,0,0,0,0,0,5984279
Cameroon,0,0,0,0,0,0,0,33422794.4826699
Canada,0,0,9417546.80612716,0,0,0,17853291.3143052,3730224818.97798
Central African Republic,0,0,0,0,0,0,0,330536103.532078
Chad,0,0,0,0,0,0,0,320838356.645547
Chile,0,0,0,0,0,0,0,1531422.62851359
China,0,0,0,0,0,0,0,233720156.273307
Colombia,0,0,0,0,0,0,0,28669915.0787785
Congo,0,0,0,0,0,0,0,8949315.46535333
"Congo, The Democratic Republic of the",0,0,0,0,0,0,7494475.28353846,830259783.581155
Costa Rica,0,0,0,0,0,0,0,4812.24805465916
Croatia,0,0,0,0,0,0,0,1974117.17443725
Cuba,0,0,0,0,0,0,0,238244.598849796
Cyprus,0,0,0,0,0,0,0,341286.070934426
Czech Republic,0,0,0,0,0,0,0,37562883.9518382
Côte d'Ivoire,0,0,0,0,0,0,0,15054838.8286458
Denmark,0,0,2002171.39480745,0,0,146434,37169,2642783606.6864
Djibouti,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,1e+05
Dominican Republic,0,0,0,0,0,0,0,2e+05
Ecuador,0,0,0,0,0,0,0,1548992.70495489
Egypt,0,0,0,0,0,0,0,3013338.41193163
Estonia,0,0,0,0,0,0,0,24309366.9881921
Ethiopia,0,0,0,0,0,0,0,288805833.499775
Faroe Islands,0,0,0,0,0,0,0,0
Finland,0,0,150185.591522746,0,596107.228314204,0,0,949262849.772951
France,344699.383826011,0,1462478.07159026,0,0,0,4570276.54328592,1159202103.43021
French Polynesia,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,12225
Georgia,0,0,0,0,0,0,0,222535.981318246
Germany,1347913.76412515,0,11142940.1178238,0,6710504.71477839,0,46469959.7701768,11323214374.1949
Ghana,0,0,0,0,0,0,0,13347.8662349176
Greece,0,0,0,0,0,0,0,27982985.0542008
Guatemala,0,0,0,0,0,0,0,1726111.67918009
Guyana,0,0,0,0,0,0,0,113983.501782453
Haiti,0,0,0,0,0,0,0,99137996.5954143
Holy See (Vatican City State),0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0
Hungary,0,0,15126.1484589137,0,70059.1753270133,0,14223.6709045282,11599836.710703
Iceland,0,0,0,0,0,0,0,8165681.19800859
India,0,0,0,0,0,0,0,33087944.6764394
Indonesia,0,0,0,0,0,0,0,16251121.9704847
"Iran, Islamic Republic of",0,0,0,0,0,0,0,4135136.44597072
Iraq,0,0,0,0,0,0,0,845324985.765732
Ireland,0,0,0,0,0,0,0,779854286.726886
Israel,0,0,0,0,0,0,0,9836340.00200807
Italy,0,0,0,0,933393.627389986,924730.787379665,24196824.763916,805232124.732333
Jamaica,0,0,0,0,0,0,0,0
Japan,3938460.5322538,0,3125663.80321792,320842.306307618,0,0,11609434.3898774,4948954722.98398
Jersey,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,911501.107704175,0,1184993.17628439,45246250.2484935
Kazakhstan,0,0,0,0,0,0,0,21301298.1130918
Kenya,0,0,0,0,0,0,0,150562691.220404
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,200964746.140517
Kuwait,0,0,1041776.8548948,0,0,4968655.37863535,0,2257341891.23875
Lao People's Democratic Republic,0,0,0,0,0,0,0,28003.1863215326
Latvia,0,0,0,0,0,0,0,1214917.65367252
Lebanon,0,0,0,0,0,0,1847371.71478399,58547817.9597741
Lesotho,0,0,0,0,0,0,0,1100000
Liberia,0,0,0,0,0,0,0,974751.537639927
