destination_Location_name_split,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
..,0,0,0,0,2743078.44998015,0,108445785.866111,20398096129.8825
Afghanistan,0,0,0,0,0,924730.787379665,8315288.72329001,2999495382.46314
Albania,0,0,0,0,0,0,0,596976.09164108
Algeria,0,0,0,0,0,0,1960023.50159288,99046509.7020875
Angola,0,0,0,0,0,0,0,32656930.9478677
Anguilla (United Kingdom),0,0,0,0,0,0,0,223819.061883377
Antigua and Barbuda,0,0,0,0,0,0,0,2033515.08816681
Argentina,0,0,0,0,0,0,0,147187.211357598
Armenia,0,0,0,0,0,0,0,12396100.6007178
Aruba,0,0,0,0,0,0,0,85483.3988485433
Austria,0,0,0,0,0,0,0,3659975.24024977
Azerbaijan,0,0,0,0,0,0,0,6963987.94323867
Bahamas,0,0,0,0,0,0,0,1302438.94859
Bangladesh,0,0,205141.493404639,0,0,0,10649876.0183355,440818280.174773
Barbados,0,0,0,0,0,0,0,117518.692075752
Belarus,0,0,0,0,0,0,0,110708.759732647
Belgium,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,50000
Benin,0,0,0,0,0,0,0,4247616.68757087
Bhutan,0,0,0,0,0,0,0,821413.508273893
"Bolivia, Plurinational State of",0,0,0,0,0,0,0,10305756.7754904
"Bonaire, Saint Eustatius and Saba (The Netherlands)",0,0,0,0,0,0,0,100724.944572204
Bosnia and Herzegovina,0,0,0,0,0,0,0,29368970.0283729
Brazil,0,0,0,0,0,0,0,13663306.9932533
Bulgaria,0,0,0,0,0,0,0,1761213.78255703
Burkina Faso,0,0,0,0,0,0,0,304365426.226999
Burundi,0,0,0,0,0,0,283447,170614128.308757
Cambodia,0,0,0,0,87891.4647299149,0,0,51114986.0632604
Cameroon,0,0,0,0,0,0,0,468458521.635051
Canada,0,0,0,0,0,0,0,100950.388768916
Cape Verde,0,0,0,0,0,0,0,5438217.88849282
Central African Republic,3938460.5322538,0,0,0,0,0,1088642.50977614,1657448876.99303
Chad,0,0,340750.727917625,0,0,0,0,1428546722.42394
Chile,0,0,0,0,0,0,0,7165819.45907802
China,0,0,0,0,0,0,191366.51940653,8205880.34899991
Colombia,0,0,0,0,0,0,384417.030206856,363783352.845551
Comoros,0,0,0,0,0,0,0,5670752.45602733
Congo,0,0,0,0,0,0,0,32380797.1425965
"Congo, The Democratic Republic of the",0,0,12617.3152694858,0,0,0,12889669.4086026,3636479024.93997
Cook Islands,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,19955532.8474029
Croatia,0,0,0,0,0,0,0,944479.325151842
Cuba,0,0,0,0,0,0,0,24885209.1277626
Curaçao,0,0,0,0,0,0,0,85483.3988485433
Cyprus,0,0,0,0,0,0,0,15029.1372311598
Côte d'Ivoire,0,0,0,0,0,0,0,145998330.494758
Denmark,0,0,0,0,0,0,0,1e+07
Djibouti,0,0,0,0,0,0,0,127632404.75096
Dominica,0,0,0,0,0,0,0,14687240.1336643
Dominican Republic,0,0,0,0,0,0,0,4044545.22771389
Ecuador,0,0,0,0,0,0,0,41149511.582188
Egypt,0,0,0,0,0,0,215641.900988717,334223897.85453
El Salvador,0,0,0,0,0,0,0,2648950.60691814
Equatorial Guinea,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,1570030.42867063,31687847.431945
Eswatini,0,0,0,0,0,0,0,21276700.9419597
Ethiopia,0,0,0,0,166848.854902736,0,27530790.6212671,3834143520.9876
Fiji,0,0,0,0,0,0,0,44695006.7696414
Gabon,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,9006666.18743112
Georgia,0,0,0,0,99107,0,0,9812456.58617458
Germany,0,0,0,0,0,0,0,1882215.15923701
Ghana,0,0,0,0,0,0,0,35822643.7078712
Greece,0,0,0,0,0,0,0,78211678.7583901
Guadeloupe (France),0,0,0,0,0,0,0,100724.944572204
Guatemala,0,0,0,0,0,0,0,37363720.2305971
Guinea,0,0,0,0,0,0,0,358274761.538782
Guinea-Bissau,0,0,0,0,0,0,0,10699625.8225859
Guyana,0,0,0,0,0,0,0,85483.3988485433
Haiti,1269391.09898642,0,0,0,1061745.61515939,0,97565.7313296207,580779113.905438
Honduras,0,0,0,0,0,0,0,23629018.9369954
Hungary,0,0,0,0,0,0,0,129902.838986736
India,0,0,0,0,0,0,74817.7588493685,24046129.8374703
Indonesia,0,0,0,0,0,0,0,98069768.0872778
